Delay : 1, Total Response Took: 1.029, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04257 
Delay : 1, Total Response Took: 1.125, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04094 
Delay : 1, Total Response Took: 1.135, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05247 
Delay : 1, Total Response Took: 1.133, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04068 
Delay : 1, Total Response Took: 1.137, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04038 
Delay : 1, Total Response Took: 1.143, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04542 
Delay : 1, Total Response Took: 1.155, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05111 
Delay : 1, Total Response Took: 1.157, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05371 
Delay : 1, Total Response Took: 1.158, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04605 
Delay : 1, Total Response Took: 1.155, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04065 
Delay : 1, Total Response Took: 1.169, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05565 
Delay : 1, Total Response Took: 1.172, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05626 
Delay : 1, Total Response Took: 1.177, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04615 
Delay : 1, Total Response Took: 1.19, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05637 
Delay : 1, Total Response Took: 1.186, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03791 
Delay : 1, Total Response Took: 1.213, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05035 
Delay : 1, Total Response Took: 1.229, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04573 
Delay : 1, Total Response Took: 1.228, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04231 
Delay : 1, Total Response Took: 1.237, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04488 
Delay : 1, Total Response Took: 1.264, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0572 
Delay : 1, Total Response Took: 1.266, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05398 
Delay : 1, Total Response Took: 1.308, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04859 
Delay : 1, Total Response Took: 2.055, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04075 
Delay : 1, Total Response Took: 2.059, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04087 
Delay : 1, Total Response Took: 2.066, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04092 
Delay : 1, Total Response Took: 2.069, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04081 
Delay : 1, Total Response Took: 2.07, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03993 
Delay : 1, Total Response Took: 2.073, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04136 
Delay : 1, Total Response Took: 2.087, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03908 
Delay : 1, Total Response Took: 2.095, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03985 
Delay : 1, Total Response Took: 2.098, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04081 
Delay : 1, Total Response Took: 2.1, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04012 
Delay : 1, Total Response Took: 2.102, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03962 
Delay : 1, Total Response Took: 2.105, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0415 
Delay : 1, Total Response Took: 2.106, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03951 
Delay : 1, Total Response Took: 2.11, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04273 
Delay : 1, Total Response Took: 2.114, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03927 
Delay : 1, Total Response Took: 2.114, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03984 
Delay : 1, Total Response Took: 2.117, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03979 
Delay : 1, Total Response Took: 2.139, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04034 
Delay : 1, Total Response Took: 2.145, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04045 
Delay : 1, Total Response Took: 2.146, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04005 
Delay : 1, Total Response Took: 2.156, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03988 
Delay : 1, Total Response Took: 2.155, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03949 
Delay : 1, Total Response Took: 2.157, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04001 
Delay : 1, Total Response Took: 2.157, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03961 
Delay : 1, Total Response Took: 2.159, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03927 
Delay : 1, Total Response Took: 2.164, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04247 
Delay : 1, Total Response Took: 2.163, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04047 
Delay : 1, Total Response Took: 2.171, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.05036 
Delay : 1, Total Response Took: 2.164, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03982 
Delay : 1, Total Response Took: 2.175, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03983 
Delay : 1, Total Response Took: 2.174, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03897 
Delay : 1, Total Response Took: 2.197, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03844 
Delay : 1, Total Response Took: 2.198, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03918 
Delay : 1, Total Response Took: 2.203, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04704 
Delay : 1, Total Response Took: 2.22, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03951 
Delay : 1, Total Response Took: 2.22, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0391 
Delay : 1, Total Response Took: 2.228, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03858 
Delay : 1, Total Response Took: 2.243, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03855 
Delay : 1, Total Response Took: 2.248, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03848 
Delay : 1, Total Response Took: 2.296, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03816 
Delay : 1, Total Response Took: 3.067, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03833 
Delay : 1, Total Response Took: 3.069, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03797 
Delay : 1, Total Response Took: 3.074, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04085 
Delay : 1, Total Response Took: 3.075, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04078 
Delay : 1, Total Response Took: 3.078, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04308 
Delay : 1, Total Response Took: 3.085, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04436 
Delay : 1, Total Response Took: 3.087, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04295 
Delay : 1, Total Response Took: 3.091, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04229 
Delay : 1, Total Response Took: 3.093, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04406 
Delay : 1, Total Response Took: 3.103, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04223 
Delay : 1, Total Response Took: 3.105, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04358 
Delay : 1, Total Response Took: 3.106, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04362 
Delay : 1, Total Response Took: 3.107, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0439 
Delay : 1, Total Response Took: 3.108, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04298 
Delay : 1, Total Response Took: 3.108, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04247 
Delay : 1, Total Response Took: 3.112, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04335 
Delay : 1, Total Response Took: 3.145, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04371 
Delay : 1, Total Response Took: 3.145, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04247 
Delay : 1, Total Response Took: 3.147, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04316 
Delay : 1, Total Response Took: 3.148, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04235 
Delay : 1, Total Response Took: 1.055, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03848 
Delay : 1, Total Response Took: 1.076, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04832 
Delay : 1, Total Response Took: 1.064, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.02807 
Delay : 1, Total Response Took: 1.087, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03869 
Delay : 1, Total Response Took: 1.081, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.02999 
Delay : 1, Total Response Took: 1.097, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0462 
Delay : 1, Total Response Took: 1.105, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04875 
Delay : 1, Total Response Took: 1.096, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03301 
Delay : 1, Total Response Took: 1.109, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04123 
Delay : 1, Total Response Took: 1.122, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04674 
Delay : 1, Total Response Took: 1.119, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03748 
Delay : 1, Total Response Took: 1.12, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0353 
Delay : 1, Total Response Took: 1.123, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.03843 
Delay : 1, Total Response Took: 1.126, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04187 
Delay : 1, Total Response Took: 1.143, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05077 
Delay : 1, Total Response Took: 1.137, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04023 
Delay : 1, Total Response Took: 1.151, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05208 
Delay : 1, Total Response Took: 1.155, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0552 
Delay : 1, Total Response Took: 1.153, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04902 
Delay : 1, Total Response Took: 1.176, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04609 
Delay : 1, Total Response Took: 1.189, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05144 
Delay : 1, Total Response Took: 1.19, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05207 
Delay : 1, Total Response Took: 1.189, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04454 
Delay : 1, Total Response Took: 1.19, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03837 
Delay : 1, Total Response Took: 1.199, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04452 
Delay : 1, Total Response Took: 1.207, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05056 
Delay : 1, Total Response Took: 1.208, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04698 
Delay : 1, Total Response Took: 1.204, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03988 
Delay : 1, Total Response Took: 1.224, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05528 
Delay : 1, Total Response Took: 1.235, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05228 
Delay : 1, Total Response Took: 1.229, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04231 
Delay : 1, Total Response Took: 1.249, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.06021 
Delay : 1, Total Response Took: 1.251, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05919 
Delay : 1, Total Response Took: 1.244, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04419 
Delay : 1, Total Response Took: 1.251, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05209 
Delay : 1, Total Response Took: 1.254, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0415 
Delay : 1, Total Response Took: 1.279, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04451 
Delay : 1, Total Response Took: 1.3, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05259 
Delay : 1, Total Response Took: 1.314, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.06199 
Delay : 1, Total Response Took: 1.41, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04703 
Delay : 1, Total Response Took: 2.068, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04305 
Delay : 1, Total Response Took: 2.088, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04279 
Delay : 1, Total Response Took: 2.091, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04538 
Delay : 1, Total Response Took: 2.09, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04315 
Delay : 1, Total Response Took: 2.1, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04605 
Delay : 1, Total Response Took: 2.106, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0449 
Delay : 1, Total Response Took: 2.11, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04609 
Delay : 1, Total Response Took: 2.115, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04406 
Delay : 1, Total Response Took: 2.12, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0437 
Delay : 1, Total Response Took: 2.122, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04521 
Delay : 1, Total Response Took: 2.122, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04289 
Delay : 1, Total Response Took: 2.127, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04536 
Delay : 1, Total Response Took: 2.127, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04297 
Delay : 1, Total Response Took: 2.134, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04295 
Delay : 1, Total Response Took: 2.14, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0456 
Delay : 1, Total Response Took: 2.139, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04277 
Delay : 1, Total Response Took: 2.169, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04488 
Delay : 1, Total Response Took: 2.168, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0425 
Delay : 1, Total Response Took: 2.171, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04314 
Delay : 1, Total Response Took: 2.174, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04179 
Delay : 1, Total Response Took: 2.175, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04314 
Delay : 1, Total Response Took: 2.178, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04451 
Delay : 1, Total Response Took: 2.181, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04217 
Delay : 1, Total Response Took: 2.189, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04186 
Delay : 1, Total Response Took: 2.194, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04384 
Delay : 1, Total Response Took: 2.194, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04271 
Delay : 1, Total Response Took: 2.199, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04142 
Delay : 1, Total Response Took: 2.2, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04208 
Delay : 1, Total Response Took: 2.204, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04124 
Delay : 1, Total Response Took: 2.218, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04072 
Delay : 1, Total Response Took: 2.221, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04235 
Delay : 1, Total Response Took: 2.227, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04121 
Delay : 1, Total Response Took: 2.23, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04199 
Delay : 1, Total Response Took: 2.236, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04079 
Delay : 1, Total Response Took: 2.238, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04156 
Delay : 1, Total Response Took: 2.245, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04157 
Delay : 1, Total Response Took: 2.271, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04059 
Delay : 1, Total Response Took: 2.283, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04054 
Delay : 1, Total Response Took: 2.29, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04222 
Delay : 1, Total Response Took: 2.402, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04165 
Delay : 1, Total Response Took: 3.074, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04271 
Delay : 1, Total Response Took: 3.093, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04499 
Delay : 1, Total Response Took: 3.094, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04495 
Delay : 1, Total Response Took: 3.094, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04456 
Delay : 1, Total Response Took: 3.098, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04493 
Delay : 1, Total Response Took: 3.101, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04713 
Delay : 1, Total Response Took: 3.11, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04564 
Delay : 1, Total Response Took: 3.111, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0474 
Delay : 1, Total Response Took: 3.117, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04623 
Delay : 1, Total Response Took: 3.118, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04589 
Delay : 1, Total Response Took: 3.124, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04515 
Delay : 1, Total Response Took: 3.125, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0462 
Delay : 1, Total Response Took: 3.128, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04774 
Delay : 1, Total Response Took: 3.128, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0459 
Delay : 1, Total Response Took: 3.158, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04607 
Delay : 1, Total Response Took: 3.16, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0471 
Delay : 1, Total Response Took: 3.168, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04651 
Delay : 1, Total Response Took: 3.17, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04819 
Delay : 1, Total Response Took: 3.17, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04678 
Delay : 1, Total Response Took: 3.172, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04681 
Delay : 1, Total Response Took: 1.044, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0421 
Delay : 1, Total Response Took: 1.051, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04271 
Delay : 1, Total Response Took: 1.066, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0325 
Delay : 1, Total Response Took: 1.072, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04094 
Delay : 1, Total Response Took: 1.07, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03661 
Delay : 1, Total Response Took: 1.071, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03807 
Delay : 1, Total Response Took: 1.076, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.04132 
Delay : 1, Total Response Took: 1.085, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04203 
Delay : 1, Total Response Took: 1.094, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03391 
Delay : 1, Total Response Took: 1.104, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03796 
Delay : 1, Total Response Took: 1.112, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04068 
Delay : 1, Total Response Took: 1.128, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0451 
Delay : 1, Total Response Took: 1.121, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03228 
Delay : 1, Total Response Took: 1.124, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03638 
Delay : 1, Total Response Took: 1.126, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03058 
Delay : 1, Total Response Took: 1.138, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03591 
Delay : 1, Total Response Took: 1.142, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03855 
Delay : 1, Total Response Took: 1.151, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04002 
Delay : 1, Total Response Took: 1.158, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04062 
Delay : 1, Total Response Took: 1.161, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04419 
Delay : 1, Total Response Took: 1.181, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04613 
Delay : 1, Total Response Took: 1.176, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03475 
Delay : 1, Total Response Took: 1.189, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04912 
Delay : 1, Total Response Took: 1.184, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04213 
Delay : 1, Total Response Took: 1.189, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03938 
Delay : 1, Total Response Took: 1.193, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04598 
Delay : 1, Total Response Took: 1.19, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03864 
Delay : 1, Total Response Took: 1.204, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04925 
Delay : 1, Total Response Took: 1.208, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04884 
Delay : 1, Total Response Took: 1.211, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.05279 
Delay : 1, Total Response Took: 1.222, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05332 
Delay : 1, Total Response Took: 1.221, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.0388 
Delay : 1, Total Response Took: 1.238, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05431 
Delay : 1, Total Response Took: 1.238, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04299 
Delay : 1, Total Response Took: 1.241, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03843 
Delay : 1, Total Response Took: 1.259, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04635 
Delay : 1, Total Response Took: 1.262, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04286 
Delay : 1, Total Response Took: 1.266, Status: FAILED_OUT_OF_STOCK, Payload: 270 bytes, CPU time: 0.0479 
Delay : 1, Total Response Took: 1.272, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04248 
Delay : 1, Total Response Took: 1.301, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04355 
Delay : 1, Total Response Took: 2.073, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04105 
Delay : 1, Total Response Took: 2.084, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03856 
Delay : 1, Total Response Took: 2.099, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04117 
Delay : 1, Total Response Took: 2.112, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03839 
